DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
06/27/2018 12:00:00 AM,13715471,10573289,Street,401 S High Street,,Ramp,6,4,1,1,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,330 S Eastside Drive,NW Corner,Ramp,5,4,1,0.5,,3,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,323 S Eastside Drive,NE Corner,Ramp,6,4,1,0.25,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,401 S Eastside Drive,SE Corner,Ramp,6,4,1,1,,3,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,316 S High Street,NW Corner,Ramp,10,6,1,1,,4,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,400 South High Street,SW Corner,Ramp,10,10,1,1,,5,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,2000 E Atwater,SE Corner,Ramp,8,6,1,0.5,,3,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,401 S Eastside Drive,SE Corner,Ramp,6,4,1,0.5,,3,,,,,,,,,,,,
07/05/2018 12:00:00 AM,13038434,10577632,Street,398 S Mitchell,NW Corner,Ramp,7,6,1,1,,,,,,,,,,,,,,
07/03/2018 12:00:00 AM,13038378,10576919,Street,401 S Mitchell,SE Corner,Ramp,7,6,1,0.75,,,,,,,,,,,,,,
07/03/2018 12:00:00 AM,13038378,10576919,Street,1600 E Atwater,NE Corner,Ramp,6,5,1,0.75,,,,,,,,,,,,,,
06/19/2018 12:00:00 AM,13037950,10569578,Street,1900 E Atwater,SE Corner,Ramp,5,5,1,0.75,,,,,,,,,,,,,,
06/19/2018 12:00:00 AM,13037950,10569578,Street,1900 E Atwater,SW Corner,Ramp,5,5,1,0.75,,,,,,,,,,,,,,
07/12/2018 12:00:00 AM,13038727,10581988,Street,312 W 14th Street,NE Corner,Ramp,6,5.6,1,0.5,,,,,,,,,,,,,,
07/16/2018 12:00:00 AM,13038842,10583684,Street,920 N Madison Street,SE Corner,Ramp,6,5.6,1,0.5,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,925 N Madison Street,SW Corner,Ramp,6,6,1,0.5,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,1001 N Madison Street,NW Corner,Ramp,6,6,1,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Ramp,6,5,1,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Ramp,6,5,1,0.5,,,,,,,,,,,,,,
07/10/2018 12:00:00 AM,13038602,10580254,Street,11th & Rogers,NW Corner,Ramp,8,6,1,1,,,,,,,,,,,,,,
07/25/2018 12:00:00 AM,15817495,10589573,Street,1123 N Madison,SW Corner,Ramp,12,5,1,1,3,,,,,,,,,,,,,
07/25/2018 12:00:00 AM,15817495,10589573,Street,1201 N Madison,NE Corner,Ramp,12,5,1,1,3,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Ramp,6,5,1,0.5,3,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Ramp,6,5,1,0.5,3,,,,,,,,,,,,,
08/02/2018 12:00:00 AM,15817740,10593538,Street,326 W Kenwood,NE Corner,Ramp,10,5,1,1,3,,,,,,,,,,,,,
08/06/2018 12:00:00 AM,13039486,10595350,Street,1218 N Madison,SE Corner,Ramp,10,5,1,1,3,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1200 N Madison,NE Corner,Ramp,10,5,1,1,3,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1122 N Madison,SE Corner,Ramp,10,5,1,1,3,,,,,,,,,,,,,
08/09/2018 12:00:00 AM,13039555,10597257,Street,203 E 15th Street,NE Corner,Ramp,10,10,1,1.5,,5,,,,,,,,,,,,
08/13/2018 12:00:00 AM,15817985,10599018,Street,123 E 15th Street,NW Corner,Ramp,10,10,1,1.5,,5,,,,,,,,,,,,
08/14/2018 12:00:00 AM,15818014,10599875,Street,202 E 15th Street,SE Corner,Ramp,10,10,1,1.5,,5,,,,,,,,,,,,
08/21/2018 12:00:00 AM,13039777,10602372,Street,112 E 15th Street,SW Corner,Ramp,10,10,1,1.5,,5,,,,,,,,,,,,
09/06/2018 12:00:00 AM,13040256,10611071,Street,321 E 15th Street,NW Corner,Ramp,10,5,1,1,3,,,,,,,,,,,,,
09/06/2018 12:00:00 AM,13040256,10611071,Street,1104 N Grant Street,NE Corner,Ramp,13,5,1,1,3,,,,,,,,,,,,,
08/28/2018 12:00:00 AM,13039973,10606504,Street,321 E 14th Street,NE Corner,Ramp,10,10,1,1,,6,,,,,,,,,,,,
08/28/2018 12:00:00 AM,13039973,10606504,Street,321 E 15th Street,SE Corner,Ramp,10,10,1,1,,6,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1101 N Lincoln Street,NW Corner,Ramp,10,10,1,1,,6,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1015 N Lincoln Street,SE Corner,Ramp,5,5,2,1,,5,,,,,,,,,,,,
09/20/2018 12:00:00 AM,13040543,10618652,Street,421 E 15th Street,NE Corner,Ramp,10,10,1,1,,6,,,,,,,,,,,,
09/26/2018 12:00:00 AM,15818727,10620820,Street,426 E 15th Street,SW Corner,Ramp,6,5,1,0.5,3,,,,,,,,,,,,,
10/30/2018 12:00:00 AM,15819497,10639951,Street,730 W Howe Street,NE Corner,Ramp,10,5,1,1.5,,,,,,,,,,,,,,
02/01/2018 12:00:00 AM,15813840,10516092,Street,1116 N College Ave,Same,Sidewalk,39,6,,4,,,,,,,,,,,,,,
02/27/2018 12:00:00 AM,15814297,10520815,Street,600 E 2nd Street,Same,Sidewalk,35,5,,3,,,,,,,,,,,,,,
02/27/2018 12:00:00 AM,15814297,10520815,Street,604 E. 2nd Street,Same,Sidewalk,37,5,,3,,,,,,,,,,,,,,
03/09/2018 12:00:00 AM,13714557,10524023,Street,711 W Rosewood Drive,Same,Sidewalk,40,4,,2.5,,,,,,,,,,,,,,
03/20/2018 12:00:00 AM,15814586,10527591,Street,900 S Westhill Court,Same,Sidewalk,18,4,,1,,,,,,,,,,,,,,
03/20/2018 12:00:00 AM,15814586,10527591,Street,904 S Westhill Court,Same,Sidewalk,48,4,,2.5,,,,,,,,,,,,,,
04/02/2018 12:00:00 AM,13035986,10534555,Street,1556 S Andrew Cicle,Same,Sidewalk,10,5,,1,,,,,,,,,,,,,,
04/02/2018 12:00:00 AM,13035986,10534555,Street,1163 Weatherstone Lane,Same,Sidewalk,50,5,,3,,,,,,,,,,,,,,
04/04/2018 12:00:00 AM,13715038,10531664,Street,525 N Park Ridge Road,Same,Sidewalk,20,5,,2,,,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SW Corner,Sidewalk,10,5,,0.5,,,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SE Corner,Sidewalk,15,5,,1.5,,,,,,,,,,,,,,
07/05/2018 12:00:00 AM,13038434,10577632,Street,398 S Mitchell,NW Corner,Sidewalk,10,6,,1,,,,,,,,,,,,,,
